study_id,year,month,data_downloads,documentation_downloads,total_downloads,timestamp
38597,2024,5,58,126,184,2026-05-13 10:54:26
38597,2024,6,8,29,37,2026-05-13 10:54:26
38597,2024,7,16,42,58,2026-05-13 10:54:26
38597,2024,8,12,24,36,2026-05-13 10:54:26
38597,2024,9,1,3,4,2026-05-13 10:54:26
38597,2024,10,4,8,12,2026-05-13 10:54:26
38597,2024,11,76,163,239,2026-05-13 10:54:26
38597,2024,12,18,44,62,2026-05-13 10:54:26
38597,2025,1,38,86,124,2026-05-13 10:54:26
38597,2025,2,29,58,87,2026-05-13 10:54:26
38597,2025,3,12,24,36,2026-05-13 10:54:26
38597,2025,4,14,31,45,2026-05-13 10:54:26
38597,2025,5,32,64,96,2026-05-13 10:54:26
38597,2025,6,9,18,27,2026-05-13 10:54:26
38597,2025,7,14,29,43,2026-05-13 10:54:26
38597,2025,8,5,12,17,2026-05-13 10:54:26
38597,2025,9,19,38,57,2026-05-13 10:54:26
38597,2025,10,25,59,84,2026-05-13 10:54:26
38597,2025,11,3,6,9,2026-05-13 10:54:26
38597,2025,12,21,43,64,2026-05-13 10:54:26
38597,2026,1,33,68,101,2026-05-13 10:54:26
38597,2026,2,26,53,79,2026-05-13 10:54:26
38597,2026,3,35,72,107,2026-05-13 10:54:26
38597,2026,4,29,59,88,2026-05-13 10:54:26
38597,2026,5,12,24,36,2026-05-13 10:54:26
38598,2022,12,4,16,20,2026-05-13 10:54:26
38598,2023,1,6,13,19,2026-05-13 10:54:26
38598,2023,2,9,18,27,2026-05-13 10:54:26
38598,2023,3,1,2,3,2026-05-13 10:54:26
38598,2023,5,2,4,6,2026-05-13 10:54:26
38598,2023,6,4,12,16,2026-05-13 10:54:26
38598,2023,7,3,8,11,2026-05-13 10:54:26
38598,2023,8,2,21,23,2026-05-13 10:54:26
38598,2023,9,3,14,17,2026-05-13 10:54:26
38598,2023,10,9,19,28,2026-05-13 10:54:26
38598,2023,11,9,25,34,2026-05-13 10:54:26
38598,2023,12,290,297,587,2026-05-13 10:54:26
38598,2024,1,42,48,90,2026-05-13 10:54:26
38598,2024,2,17,42,59,2026-05-13 10:54:26
38598,2024,3,15,35,50,2026-05-13 10:54:26
38598,2024,4,13,29,42,2026-05-13 10:54:26
38598,2024,5,24,53,77,2026-05-13 10:54:26
38598,2024,6,4,13,17,2026-05-13 10:54:26
38598,2024,7,7,17,24,2026-05-13 10:54:26
38598,2024,8,4,10,14,2026-05-13 10:54:26
38598,2024,9,5,11,16,2026-05-13 10:54:26
38598,2024,10,7,16,23,2026-05-13 10:54:26
38598,2024,11,10,25,35,2026-05-13 10:54:26
38598,2024,12,0,2,2,2026-05-13 10:54:26
38598,2025,1,14,29,43,2026-05-13 10:54:26
38598,2025,2,37,97,134,2026-05-13 10:54:26
38598,2025,3,1,6,7,2026-05-13 10:54:26
38598,2025,4,11,48,59,2026-05-13 10:54:26
38598,2025,5,25,74,99,2026-05-13 10:54:26
38598,2025,6,35,93,128,2026-05-13 10:54:26
38598,2025,7,29,76,105,2026-05-13 10:54:26
38598,2025,8,19,46,65,2026-05-13 10:54:26
38598,2025,9,27,74,101,2026-05-13 10:54:26
38598,2025,10,36,116,152,2026-05-13 10:54:26
38598,2025,11,52,134,186,2026-05-13 10:54:26
38598,2025,12,28,70,98,2026-05-13 10:54:26
38598,2026,1,37,96,133,2026-05-13 10:54:26
38598,2026,2,26,84,110,2026-05-13 10:54:26
38598,2026,3,50,124,174,2026-05-13 10:54:26
38598,2026,4,20,51,71,2026-05-13 10:54:26
38598,2026,5,18,46,64,2026-05-13 10:54:26
38605,2023,1,4,9,13,2026-05-13 10:54:26
38605,2023,2,5,14,19,2026-05-13 10:54:26
38605,2023,3,12,26,38,2026-05-13 10:54:26
38605,2023,4,2,8,10,2026-05-13 10:54:26
38605,2023,7,6,12,18,2026-05-13 10:54:26
38605,2023,8,1,2,3,2026-05-13 10:54:26
38605,2023,9,3,15,18,2026-05-13 10:54:26
38605,2023,10,6,12,18,2026-05-13 10:54:26
38605,2023,11,2,4,6,2026-05-13 10:54:26
38605,2023,12,1,3,4,2026-05-13 10:54:26
38605,2024,1,6,12,18,2026-05-13 10:54:26
38605,2024,2,16,46,62,2026-05-13 10:54:26
38605,2024,3,18,40,58,2026-05-13 10:54:26
38605,2024,4,9,18,27,2026-05-13 10:54:26
38605,2024,5,29,64,93,2026-05-13 10:54:26
38605,2024,6,35,78,113,2026-05-13 10:54:26
38605,2024,7,17,36,53,2026-05-13 10:54:26
38605,2024,8,9,20,29,2026-05-13 10:54:26
38605,2024,9,0,2,2,2026-05-13 10:54:26
38605,2024,10,7,22,29,2026-05-13 10:54:26
38605,2024,11,33,75,108,2026-05-13 10:54:26
38605,2024,12,21,63,84,2026-05-13 10:54:26
38605,2025,1,27,81,108,2026-05-13 10:54:26
38605,2025,2,35,105,140,2026-05-13 10:54:26
